epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.98032,1.19579,3.98623,1.02204,0,0,0,0,0.45409,3.68316,0.70906,1.429e-05,1.429e-05,1.429e-05
2,12.2695,1.04828,3.87275,0.96278,0,0,0,0,0.34145,3.67487,0.70504,4.24456e-05,4.24456e-05,4.24456e-05
3,16.9696,1.03789,3.64224,0.93366,0,0,0,0,0.59433,3.68271,0.72971,7.00353e-05,7.00353e-05,7.00353e-05
4,21.7991,1.08818,3.27627,0.92178,0,0,0,0,0.66158,3.6708,0.73663,9.70591e-05,9.70591e-05,9.70591e-05
5,26.7209,1.06888,2.98841,0.9028,0,0,0,0,0.55271,3.64748,0.7158,0.000123517,0.000123517,0.000123517
6,31.4755,0.8883,2.3516,0.86144,0.01869,0.4,0.26737,0.13368,0.5756,3.61607,0.70197,0.000149409,0.000149409,0.000149409
7,36.2075,1.06178,2.09819,0.88828,0.04386,1,0.995,0.63847,0.7346,3.40126,0.71276,0.000174735,0.000174735,0.000174735
8,40.968,0.95169,1.67239,0.88162,0.04505,1,0.995,0.7015,0.86052,3.28662,0.75063,0.000199496,0.000199496,0.000199496
9,45.72,0.99425,1.61008,0.89983,0.04505,1,0.995,0.7084,0.89656,3.24701,0.76953,0.00022369,0.00022369,0.00022369
10,50.4052,0.93967,1.50359,0.90231,0.04673,1,0.995,0.61872,0.88081,3.21674,0.75629,0.000247318,0.000247318,0.000247318
11,55.0024,0.90146,1.42837,0.87527,0.05102,1,0.995,0.59274,0.77555,3.1785,0.72548,0.000270381,0.000270381,0.000270381
12,59.6904,0.88187,1.38654,0.89443,0.05495,1,0.995,0.67068,0.79416,3.17493,0.72511,0.000292878,0.000292878,0.000292878
13,64.3712,0.89657,1.28065,0.87682,0.06494,1,0.995,0.74213,0.76829,3.17103,0.73148,0.000314809,0.000314809,0.000314809
14,69.0026,0.93371,1.34803,0.8743,0.06667,1,0.995,0.75386,0.75311,3.19107,0.74082,0.000336174,0.000336174,0.000336174
15,73.6152,0.9467,1.18882,0.9003,0.06944,1,0.995,0.72485,0.71091,3.19326,0.72843,0.000356973,0.000356973,0.000356973
16,78.2967,0.89108,1.04318,0.8891,0.07463,1,0.995,0.72491,0.67739,3.18798,0.72588,0.000377206,0.000377206,0.000377206
17,82.9421,0.92353,1.08892,0.90546,0.07246,1,0.995,0.74222,0.80628,3.17549,0.74799,0.000396873,0.000396873,0.000396873
18,87.518,0.91066,1.04742,0.89199,0.07576,1,0.995,0.73313,0.86601,3.19821,0.76776,0.000415975,0.000415975,0.000415975
19,92.122,0.89404,1.08322,0.88949,0.07463,1,0.995,0.78797,0.69839,3.14522,0.74304,0.00043451,0.00043451,0.00043451
20,96.9743,0.84145,1.01966,0.88969,0.07576,1,0.995,0.77472,0.65494,3.03496,0.72703,0.00045248,0.00045248,0.00045248
21,101.828,0.86803,0.94757,0.88813,0.07692,1,0.995,0.8081,0.6763,2.9836,0.72424,0.000469884,0.000469884,0.000469884
22,106.452,0.90676,0.94668,0.91905,0.08621,1,0.995,0.7536,0.77901,3.17214,0.73799,0.000486722,0.000486722,0.000486722
23,111.218,0.86983,0.92243,0.9063,0.07937,1,0.995,0.69794,0.70448,3.35407,0.74545,0.000502994,0.000502994,0.000502994
24,115.829,0.89529,0.91591,0.89379,0.07042,1,0.83667,0.55512,0.74293,3.42726,0.75404,0.0005187,0.0005187,0.0005187
25,120.552,0.86967,0.88753,0.91382,0.07812,1,0.77192,0.35389,0.72349,3.36904,0.73152,0.00053384,0.00053384,0.00053384
26,125.213,0.83271,0.90665,0.88884,0.05714,0.8,0.701,0.3849,0.80077,3.31606,0.73298,0.000548414,0.000548414,0.000548414
27,129.88,0.84712,0.85623,0.90958,0.0625,1,0.87833,0.67255,0.98994,3.11963,0.78757,0.000562423,0.000562423,0.000562423
28,134.441,0.8753,0.83608,0.90227,0.0625,1,0.87833,0.67255,0.98994,3.11963,0.78757,0.000575866,0.000575866,0.000575866
29,139.241,0.90174,0.82314,0.93013,0.05682,1,0.92,0.66444,1.10643,3.01428,0.81218,0.000588742,0.000588742,0.000588742
30,144.016,0.84489,0.78861,0.89702,0.05435,1,0.995,0.75167,1.12789,2.88895,0.79927,0.000601053,0.000601053,0.000601053
31,148.964,0.87997,0.78617,0.8904,0.05435,1,0.995,0.75167,1.12789,2.88895,0.79927,0.000612798,0.000612798,0.000612798
32,153.808,0.7974,0.71717,0.89738,0.05051,1,0.995,0.80128,0.88883,2.77723,0.75579,0.000623977,0.000623977,0.000623977
33,158.396,0.82875,0.79475,0.88821,0.85711,1,0.995,0.84809,0.65018,2.36937,0.70316,0.00063459,0.00063459,0.00063459
34,163.068,0.83217,0.7682,0.90575,0.85711,1,0.995,0.84809,0.65018,2.36937,0.70316,0.000644638,0.000644638,0.000644638
35,167.744,0.88985,0.79871,0.89214,0.89417,1,0.995,0.82938,0.64381,2.27076,0.70496,0.000654119,0.000654119,0.000654119
36,172.469,0.84027,0.76048,0.89128,0.0463,1,0.995,0.85107,0.66738,2.32929,0.71588,0.000663035,0.000663035,0.000663035
37,177.186,0.76369,0.70968,0.85655,0.0463,1,0.995,0.85107,0.66738,2.32929,0.71588,0.000671384,0.000671384,0.000671384
38,181.986,0.81764,0.72761,0.8895,0.83806,1,0.995,0.85606,0.57934,2.28085,0.71447,0.000679168,0.000679168,0.000679168
39,186.784,0.77301,0.74841,0.90085,0.80482,1,0.995,0.85607,0.55242,2.21689,0.71229,0.000686386,0.000686386,0.000686386
40,191.772,0.73282,0.87759,0.89899,0.80482,1,0.995,0.85607,0.55242,2.21689,0.71229,0.000693038,0.000693038,0.000693038
41,196.629,0.81293,0.81536,0.9442,0.91478,1,0.995,0.8955,0.44794,2.03447,0.70522,0.000699124,0.000699124,0.000699124
42,201.655,0.7975,0.71974,0.88409,0.98432,1,0.995,0.90239,0.4867,2.02913,0.70521,0.000704644,0.000704644,0.000704644
43,206.38,0.74358,0.72704,0.86381,0.98432,1,0.995,0.90239,0.4867,2.02913,0.70521,0.000709599,0.000709599,0.000709599
44,211.027,0.80405,0.74565,0.92695,0.98431,1,0.995,0.80127,0.74727,1.88152,0.73546,0.000713987,0.000713987,0.000713987
45,215.734,0.87134,0.75096,0.91312,0.98431,1,0.995,0.80127,0.74727,1.88152,0.73546,0.00071781,0.00071781,0.00071781
46,220.684,0.88426,0.77674,0.9019,0.96387,1,0.995,0.85999,0.66825,1.67717,0.72601,0.000721066,0.000721066,0.000721066
47,225.469,0.77866,0.71247,0.87395,0.96387,1,0.995,0.85999,0.66825,1.67717,0.72601,0.000723757,0.000723757,0.000723757
48,230.267,0.81077,0.74242,0.88467,0.98063,1,0.995,0.90561,0.53751,1.46094,0.71037,0.000725882,0.000725882,0.000725882
49,235.004,0.74446,0.70036,0.87863,0.98063,1,0.995,0.90561,0.53751,1.46094,0.71037,0.000727441,0.000727441,0.000727441
50,239.692,0.77852,0.738,0.92125,0.97824,1,0.995,0.88199,0.55926,1.41209,0.70717,0.000728434,0.000728434,0.000728434
51,244.302,0.74441,0.68789,0.89289,0.97824,1,0.995,0.88199,0.55926,1.41209,0.70717,0.000721645,0.000721645,0.000721645
52,249.021,0.80521,0.65599,0.90213,0.97059,1,0.995,0.87188,0.69922,1.33152,0.7094,0.000707498,0.000707498,0.000707498
53,253.612,0.75327,0.64425,0.87484,0.97059,1,0.995,0.87188,0.69922,1.33152,0.7094,0.000693351,0.000693351,0.000693351
