epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.832505,1.79667,4.16837,0.94078,0.03488,0.6,0.04513,0.01522,1.13426,4.16305,0.81749,1.429e-05,1.429e-05,1.429e-05
2,2.49402,1.65958,4.14517,0.94168,0.05333,0.8,0.0891,0.03555,0.83824,4.11525,0.79037,4.24456e-05,4.24456e-05,4.24456e-05
3,3.33458,1.39567,4.10508,0.88681,0.06757,1,0.17155,0.09316,0.76737,4.03167,0.77723,7.00353e-05,7.00353e-05,7.00353e-05
4,4.08593,1.26887,3.9269,0.89234,0.07246,1,0.19135,0.10076,1.04111,4.03148,0.77069,9.70591e-05,9.70591e-05,9.70591e-05
5,4.84577,1.44422,3.78645,0.87477,0.07353,1,0.20729,0.14346,1.05729,3.97897,0.77913,0.000123517,0.000123517,0.000123517
6,5.6022,1.33722,3.53547,0.86037,0.06849,1,0.2163,0.16195,0.84112,3.93355,0.7701,0.000149409,0.000149409,0.000149409
7,6.36702,1.31536,3.33523,0.85939,0.06494,1,0.18426,0.11924,0.81153,3.94045,0.76438,0.000174735,0.000174735,0.000174735
8,7.09688,1.23364,2.8967,0.84702,0.0641,1,0.16583,0.10978,0.92187,3.84033,0.77065,0.000199496,0.000199496,0.000199496
9,7.81436,1.31295,2.50552,0.84352,0.06494,1,0.17155,0.10898,0.99396,3.80449,0.76235,0.00022369,0.00022369,0.00022369
10,8.53815,1.32745,2.30114,0.85154,0.06579,1,0.32,0.17293,1.00117,3.75114,0.762,0.000247318,0.000247318,0.000247318
11,9.27779,1.23796,2.27473,0.84159,0.06494,1,0.49177,0.30091,0.90765,3.69349,0.7604,0.000270381,0.000270381,0.000270381
12,10.0064,1.16388,1.97243,0.8327,0.06849,1,0.67393,0.44039,0.96773,3.61634,0.77302,0.000292878,0.000292878,0.000292878
13,10.7567,1.2179,1.88714,0.83146,0.06329,1,0.995,0.6656,1.01187,3.52923,0.79366,0.000314809,0.000314809,0.000314809
14,11.5189,1.33058,2.07215,0.82777,0.0625,1,0.995,0.69651,1.03039,3.48561,0.79406,0.000336174,0.000336174,0.000336174
15,12.2873,1.21604,1.84724,0.83187,0.06024,1,0.96167,0.68315,1.01274,3.49667,0.78699,0.000356973,0.000356973,0.000356973
16,13.0531,1.0908,1.54521,0.84981,0.06579,1,0.82203,0.48504,1.16823,3.52153,0.77899,0.000377206,0.000377206,0.000377206
17,13.8039,1.14141,1.77235,0.82142,0.07463,1,0.8253,0.50642,1.27292,3.49042,0.79061,0.000396873,0.000396873,0.000396873
18,14.5539,1.36288,1.64368,0.8369,0.08772,1,0.83848,0.54512,1.29068,3.46214,0.79333,0.000415975,0.000415975,0.000415975
19,15.3108,1.20467,1.52042,0.83908,0.09434,1,0.83346,0.49648,1.23003,3.46009,0.78447,0.00043451,0.00043451,0.00043451
20,16.1731,1.22009,1.60263,0.83066,0.09804,1,0.82833,0.4985,1.10282,3.47072,0.77458,0.00045248,0.00045248,0.00045248
21,16.9594,1.20104,1.47186,0.82903,0.1,1,0.84045,0.52297,0.98419,3.46671,0.77511,0.000469884,0.000469884,0.000469884
22,17.729,1.16203,1.47341,0.83671,0.09804,1,0.995,0.67318,0.95981,3.38965,0.77753,0.000486722,0.000486722,0.000486722
