epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.21971,0.97995,3.7528,0.94623,0,0,0,0,1.0067,3.73159,0.80805,0.099001,1e-06,1e-06
2,10.4217,1.09001,3.37066,0.91222,0,0,0,0,0.78881,3.61149,0.75975,0.097003,2.9703e-06,2.9703e-06
3,15.5576,0.92577,2.98821,0.87826,0,0,0,0,0.78556,3.69487,0.80933,0.0950049,4.901e-06,4.901e-06
4,20.5236,1.00092,2.755,0.92568,0,0,0,0,1.07899,4.12569,1.10528,0.0930068,6.7921e-06,6.7921e-06
5,25.3228,0.96054,2.64217,0.92262,0,0,0,0,1.2438,4.44887,1.18056,0.0910086,8.6436e-06,8.6436e-06
6,30.2202,0.93233,2.38969,0.89508,0,0,0,0,1.26981,4.55293,1.22024,0.0890105,1.04555e-05,1.04555e-05
7,35.1288,0.99778,2.35127,0.9281,0,0,0,0,1.23216,4.26321,1.03799,0.0870122,1.22278e-05,1.22278e-05
8,39.8707,0.91493,2.0519,0.8749,0,0,0,0,1.19839,4.06802,0.93378,0.085014,1.39605e-05,1.39605e-05
9,44.5587,0.95845,1.96243,0.88844,0,0,0,0,1.22944,4.04879,0.91815,0.0830157,1.56536e-05,1.56536e-05
10,49.5498,0.97192,2.00323,0.91595,0,0,0,0,1.09652,3.93967,0.86552,0.0810173,1.73071e-05,1.73071e-05
11,54.4739,0.92873,1.93462,0.89813,0,0,0,0,0.99738,3.76514,0.82778,0.0790189,1.8921e-05,1.8921e-05
12,59.5937,0.96168,1.85221,0.90598,0,0,0,0,0.91624,3.69225,0.80034,0.0770205,2.04953e-05,2.04953e-05
13,64.5257,0.91678,1.76351,0.88721,0,0,0,0,0.945,3.60347,0.79662,0.075022,2.203e-05,2.203e-05
14,69.3794,0.88961,1.76306,0.87689,1,0.4,0.7,0.56,0.96735,3.55778,0.79221,0.0730235,2.35251e-05,2.35251e-05
15,74.6128,0.96151,1.71045,0.93825,1,0.8,0.9,0.73662,0.98896,3.49995,0.78179,0.071025,2.49806e-05,2.49806e-05
